main_category,subcategory,word,lemma
positive-emotion,positive-emotion,joy,joy
positive-emotion,positive-emotion,love,love
positive-emotion,positive-emotion,affection,affection
positive-emotion,positive-emotion,liking,liking
positive-emotion,positive-emotion,enthusiasm,enthusiasm
positive-emotion,positive-emotion,gratitude,gratitude
positive-emotion,positive-emotion,self-pride,self-pride
positive-emotion,positive-emotion,levity,levity
positive-emotion,positive-emotion,calmness,calmness
positive-emotion,positive-emotion,fearlessness,fearlessness
positive-emotion,positive-emotion,positive-expectation,positive-expectation
positive-emotion,positive-emotion,positive-fear,positive-fear
positive-emotion,positive-emotion,positive-hope,positive-hope
positive-emotion,joy,amusement,amusement
positive-emotion,joy,elation,elation
positive-emotion,joy,exultation,exultation
positive-emotion,joy,exhilaration,exhilaration
positive-emotion,joy,exuberance,exuberance
positive-emotion,joy,happiness,happiness
positive-emotion,joy,bonheur,bonheur
positive-emotion,joy,gladness,gladness
positive-emotion,joy,merriment,merriment
positive-emotion,joy,rejoicing,rejoicing
positive-emotion,joy,belonging,belonging
positive-emotion,joy,cheerfulness,cheerfulness
positive-emotion,joy,contentment,contentment
positive-emotion,affection,attachment,attachment
positive-emotion,affection,protectiveness,protectiveness
positive-emotion,affection,regard,regard
positive-emotion,affection,soft-spot,soft-spot
positive-emotion,liking,sympathy,sympathy
positive-emotion,liking,fondness,fondness
positive-emotion,liking,captivation,captivation
positive-emotion,liking,preference,preference
positive-emotion,liking,friendliness,friendliness
positive-emotion,liking,approval,approval
positive-emotion,liking,admiration,admiration
positive-emotion,enthusiasm,gusto,gusto
positive-emotion,enthusiasm,eagerness,eagerness
positive-emotion,enthusiasm,exuberance,exuberance
positive-emotion,love,worship,worship
positive-emotion,love,love-ardor,love-ardor
positive-emotion,love,amorousness,amorousness
positive-emotion,love,puppy-love,puppy-love
positive-emotion,love,devotion,devotion
positive-emotion,love,benevolence,benevolence
positive-emotion,love,lovingness,lovingness
positive-emotion,love,loyalty,loyalty
positive-emotion,gratitude,gratefulness,gratefulness
positive-emotion,self-pride,self-esteem,self-esteem
positive-emotion,self-pride,ego,ego
positive-emotion,self-pride,amour-propre,amour-propre
positive-emotion,levity,playfulness,playfulness
positive-emotion,calmness,placidity,placidity
positive-emotion,calmness,coolness,coolness
positive-emotion,calmness,tranquillity,tranquillity
positive-emotion,fearlessness,security,security
positive-emotion,positive-expectation,anticipation,anticipation
positive-emotion,positive-fear,frisson,frisson
positive-emotion,positive-hope,hopefulness,hopefulness
positive-emotion,positive-hope,encouragement,encouragement
positive-emotion,positive-hope,optimism,optimism
negative-emotion,negative-emotion,negative-fear,negative-fear
negative-emotion,negative-emotion,sadness,sadness
negative-emotion,negative-emotion,general-dislike,general-dislike
negative-emotion,negative-emotion,ingratitude,ingratitude
negative-emotion,negative-emotion,shame,shame
negative-emotion,negative-emotion,compassion,compassion
