main_category,subcategory,word,lemma,caus_stat
positive-emotion,love,worship,worship,NA
negative-emotion,sadness,weepiness,weepiness,NA
ambiguous-emotion,ambiguous-agitation,unrest,unrest,NA
neutral-emotion,neutral-emotion,neutral-unconcern,neutral-unconcern,NA
ambiguous-emotion,ambiguous-agitation,tumult,tumult,NA
positive-emotion,calmness,tranquillity,tranquillity,NA
negative-emotion,negative-fear,timidity,timidity,NA
ambiguous-emotion,ambiguous-emotion,thing,thing,NA
negative-emotion,compassion,tenderness,tenderness,NA
positive-emotion,liking,sympathy,sympathy,NA
ambiguous-emotion,ambiguous-emotion,surprise,surprise,NA
ambiguous-emotion,ambiguous-agitation,stir,stir,NA
negative-emotion,negative-fear,stage-fright,stage-fright,NA
negative-emotion,anxiety,solicitude,solicitude,NA
positive-emotion,affection,soft-spot,soft-spot,NA
negative-emotion,anxiety,sinking,sinking,NA
negative-emotion,negative-emotion,shame,shame,NA
positive-emotion,self-pride,self-esteem,self-esteem,NA
negative-emotion,shame,self-disgust,self-disgust,NA
negative-emotion,humility,self-depreciation,self-depreciation,NA
positive-emotion,fearlessness,security,security,NA
negative-emotion,anxiety,scruple,scruple,NA
negative-emotion,negative-fear,scare,scare,NA
negative-emotion,negative-emotion,sadness,sadness,NA
ambiguous-emotion,ambiguous-fear,reverence,reverence,NA
negative-emotion,despair,resignation,resignation,NA
positive-emotion,joy,rejoicing,rejoicing,NA
positive-emotion,affection,regard,regard,NA
positive-emotion,love,puppy-love,puppy-love,NA
positive-emotion,affection,protectiveness,protectiveness,NA
positive-emotion,liking,preference,preference,NA
positive-emotion,calmness,placidity,placidity,NA
negative-emotion,despair,pessimism,pessimism,NA
ambiguous-emotion,ambiguous-emotion,pensiveness,pensiveness,NA
negative-emotion,negative-fear,panic,panic,NA
positive-emotion,positive-hope,optimism,optimism,NA
negative-emotion,sadness,misery,misery,NA
negative-emotion,compassion,mercifulness,mercifulness,NA
negative-emotion,sadness,melancholy,melancholy,NA
negative-emotion,humility,meekness,meekness,NA
positive-emotion,love,loyalty,loyalty,NA
positive-emotion,love,lovingness,lovingness,NA
positive-emotion,positive-emotion,love,love,NA
positive-emotion,positive-emotion,liking,liking,NA
positive-emotion,positive-emotion,levity,levity,NA
neutral-emotion,apathy,neutral-languor,neutral-languor,NA
positive-emotion,positive-emotion,joy,joy,NA
negative-emotion,anxiety,jitteriness,jitteriness,NA
negative-emotion,negative-fear,fear-intimidation,fear-intimidation,NA
negative-emotion,anxiety,insecurity,insecurity,NA
negative-emotion,negative-emotion,ingratitude,ingratitude,NA
neutral-emotion,neutral-unconcern,indifference,indifference,NA
negative-emotion,negative-fear,hysteria,hysteria,NA
negative-emotion,negative-emotion,humility,humility,NA
negative-emotion,negative-fear,horror,horror,NA
negative-emotion,despair,hopelessness,hopelessness,NA
positive-emotion,positive-hope,hopefulness,hopefulness,NA
positive-emotion,positive-emotion,positive-hope,positive-hope,NA
ambiguous-emotion,ambiguous-expectation,ambiguous-hope,ambiguous-hope,NA
negative-emotion,general-dislike,hate,hate,NA
positive-emotion,joy,happiness,happiness,NA
positive-emotion,enthusiasm,gusto,gusto,NA
ambiguous-emotion,ambiguous-emotion,gravity,gravity,NA
positive-emotion,positive-emotion,gratitude,gratitude,NA
positive-emotion,gratitude,gratefulness,gratefulness,NA
positive-emotion,joy,gladness,gladness,NA
positive-emotion,positive-fear,frisson,frisson,NA
positive-emotion,liking,friendliness,friendliness,NA
negative-emotion,sadness,forlornness,forlornness,NA
positive-emotion,liking,fondness,fondness,NA
ambiguous-emotion,ambiguous-expectation,fever,fever,NA
positive-emotion,positive-emotion,fearlessness,fearlessness,NA
negative-emotion,negative-emotion,negative-fear,negative-fear,NA
positive-emotion,joy,exultation,exultation,NA
positive-emotion,enthusiasm,exuberance,exuberance,NA
ambiguous-emotion,ambiguous-emotion,ambiguous-expectation,ambiguous-expectation,NA
positive-emotion,joy,exhilaration,exhilaration,NA
positive-emotion,positive-emotion,enthusiasm,enthusiasm,NA
positive-emotion,positive-hope,encouragement,encouragement,NA
neutral-emotion,apathy,emotionlessness,emotionlessness,NA
negative-emotion,shame,embarrassment,embarrassment,NA
positive-emotion,joy,elation,elation,NA
positive-emotion,self-pride,ego,ego,NA
negative-emotion,anxiety,edginess,edginess,NA
ambiguous-emotion,gravity,earnestness,earnestness,NA
positive-emotion,enthusiasm,eagerness,eagerness,NA
negative-emotion,sadness,downheartedness,downheartedness,NA
negative-emotion,sadness,dolefulness,dolefulness,NA
negative-emotion,anxiety,distress,distress,NA
negative-emotion,general-dislike,dislike,dislike,NA
negative-emotion,despair,discouragement,discouragement,NA
negative-emotion,anxiety,discomfiture,discomfiture,NA
positive-emotion,love,devotion,devotion,NA
negative-emotion,negative-emotion,despair,despair,NA
negative-emotion,sadness,depression,depression,NA
negative-emotion,negative-emotion,daze,daze,NA
negative-emotion,negative-fear,creeps,creep,NA
positive-emotion,calmness,coolness,coolness,NA
positive-emotion,joy,contentment,contentment,NA
negative-emotion,shame,conscience,conscience,NA
negative-emotion,anxiety,negative-concern,negative-concern,NA
negative-emotion,negative-emotion,compassion,compassion,NA
negative-emotion,compassion,commiseration,commiseration,NA
negative-emotion,sadness,cheerlessness,cheerlessness,NA
positive-emotion,joy,cheerfulness,cheerfulness,NA
positive-emotion,liking,captivation,captivation,NA
positive-emotion,positive-emotion,calmness,calmness,NA
positive-emotion,joy,bonheur,bonheur,NA
positive-emotion,love,benevolence,benevolence,NA
positive-emotion,joy,belonging,belonging,NA
positive-emotion,affection,attachment,attachment,NA
ambiguous-emotion,surprise,astonishment,astonishment,NA
positive-emotion,love,love-ardor,love-ardor,NA
positive-emotion,liking,approval,approval,NA
negative-emotion,negative-fear,apprehension,apprehension,NA
neutral-emotion,neutral-emotion,apathy,apathy,NA
negative-emotion,anxiety,anxiousness,anxiousness,NA
negative-emotion,negative-emotion,anxiety,anxiety,NA
positive-emotion,positive-expectation,anticipation,anticipation,NA
negative-emotion,general-dislike,anger,anger,NA
positive-emotion,self-pride,amour-propre,amour-propre,NA
positive-emotion,love,amorousness,amorousness,NA
negative-emotion,negative-fear,alarm,alarm,NA
ambiguous-emotion,ambiguous-emotion,ambiguous-agitation,ambiguous-agitation,NA
positive-emotion,positive-emotion,affection,affection,NA
positive-emotion,liking,admiration,admiration,NA
negative-emotion,anxiety,angst,angst,NA
